Date,Fundamental Long-Biased Equity,Fundamental Market Neutral Equity,Fundamental Credit,Structured Credit,Diversified Multi-Strategy,Opportunistic MS,Global Macro,Quantitative
7/1/1996,-0.02038199,0.067032037,,,0.003188237,0.00538104,,
8/1/1996,0.03091819,-0.010167846,,,0.017845906,0.013009697,,
9/1/1996,0.013935789,-0.045853334,,,0.015504766,0.013029725,,
10/1/1996,0.018001472,0.029186994,,,0.007902488,0.005684922,,
11/1/1996,0.029365966,-0.024629804,,,0.007720378,0.008467401,,
12/1/1996,0.005656024,0.033144285,,,0.015014886,0.011579855,,
1/1/1997,0.023714177,-0.039389387,,,0.017111657,0.016016318,,
2/1/1997,-0.009525447,0.024610454,,,0.007868434,0.007823952,,
3/1/1997,-0.011473909,0.06069193,,,0.007781241,0.005295656,,
4/1/1997,-0.015447403,-0.019598029,,,0.008530304,-0.022867298,,
5/1/1997,0.037673227,-0.033470318,,,0.025121377,0.040256766,,
6/1/1997,0.006475287,-0.001217564,,,0.018983764,0.0256658,,
7/1/1997,0.033564368,-0.04985636,,,0.021823343,0.025743888,,
8/1/1997,0.004871517,0.035122839,,,0.012765805,-0.000609105,,
9/1/1997,0.043732824,-0.01384669,,,0.023805345,0.027500174,,
10/1/1997,-0.010436123,0.054537095,,,0.009616538,0.004525815,,
11/1/1997,-0.017068941,0.024338874,,,0.010830985,0.02837394,,
12/1/1997,0.004864881,0.037968709,,,0.020621774,0.014598968,,
1/1/1998,-0.001411913,-0.028638339,,,0.005254691,-0.003989011,,
2/1/1998,0.042955111,-0.028305314,,,0.019069434,0.041487568,,
3/1/1998,0.047413566,-0.00611064,,,0.035096513,0.024604868,,
4/1/1998,0.014405155,0.003523892,,,0.012932394,-0.009932166,,
5/1/1998,-0.011999075,0.05342687,,,0.004388904,-0.014916276,,
6/1/1998,0.011579218,-0.021933262,,,-0.004719817,0.007295043,,
7/1/1998,-0.01996094,0.001582883,,,0.00261675,-0.020164964,,
8/1/1998,-0.082980773,0.133692094,,,-0.050578837,-0.121222475,,
